"Naimenovanie obrazovatelnoy organizatsii,Kod professii,Naimenovanie pokazateley,Summarnyy vypusk 2021,Trudoustroeny,v sootvetstvii s osvoennoy professiey,rabotayut na protyazhenii ne menee 4-kh mesyatsev,IP,Samozanyatye,Prodolzhili obuchenie,Prokhodyat sluzhbu v armii po prizyvu,Prokhodyat sluzhbu v armii na kontraktnoy osnove,Nakhodyatsya v otpuske po ukhodu za rebenkom,Neformalnaya zanyatost,Zaregistrirovany v tsentrakh zanyatosti v kachestve bezrabotnykh,Ne imeyut motivatsii k trudoustroystvu,Inye prichiny,Smert; tyazheloe sostoyanie zdorovya,Nakhodyatsya pod sledstviem; otbyvayut nakazanie ,Pereezd za predely Rossiyskoy Federatsii,Ne mogut trudoustraivatsya v svyazi s ukhodom za bolnymi rodstvennikami,Vypuskniki iz chisla inostrannykh grazhdan,Inoe,budut trudoustroeny,budut IP,budut samozanyatymi,budut prizvany v armiyu,budut v armii na kontraktnoy osnove,budut prodolzhat obuchenie"
GAPOU SO Alapaevskiy mnogoprofilnyy tekhnikum,43.02.06 Servis na transporte (po vidam transporta),Imeyut dogovor o tselevom obuchenii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GAPOU SO Alapaevskiy mnogoprofilnyy tekhnikum,44.02.01 Doshkolnoe obrazovanie,Vsego  (obschaya chislennost vypusknikov),26,26,26,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GAPOU SO Alapaevskiy mnogoprofilnyy tekhnikum,44.02.01 Doshkolnoe obrazovanie,iz obschey chislennosti vypusknikov (iz stroki 01): litsa s OVZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GAPOU SO Alapaevskiy mnogoprofilnyy tekhnikum,44.02.01 Doshkolnoe obrazovanie,iz chisla lits s OVZ (iz stroki 02): invalidy i deti-invalidy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GAPOU SO Alapaevskiy mnogoprofilnyy tekhnikum,44.02.01 Doshkolnoe obrazovanie,Invalidy i deti-invalidy (krome uchtennykh v stroke 03),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GAPOU SO Alapaevskiy mnogoprofilnyy tekhnikum,44.02.01 Doshkolnoe obrazovanie,Imeyut dogovor o tselevom obuchenii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GAPOU SO Alapaevskiy mnogoprofilnyy tekhnikum,44.02.06 Professionalnoe obuchenie (po otraslyam),Vsego  (obschaya chislennost vypusknikov),11,9,9,9,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GAPOU SO Alapaevskiy mnogoprofilnyy tekhnikum,44.02.06 Professionalnoe obuchenie (po otraslyam),iz obschey chislennosti vypusknikov (iz stroki 01): litsa s OVZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GAPOU SO Alapaevskiy mnogoprofilnyy tekhnikum,44.02.06 Professionalnoe obuchenie (po otraslyam),iz chisla lits s OVZ (iz stroki 02): invalidy i deti-invalidy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GAPOU SO Alapaevskiy mnogoprofilnyy tekhnikum,44.02.06 Professionalnoe obuchenie (po otraslyam),Invalidy i deti-invalidy (krome uchtennykh v stroke 03),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
