Идентификатор;Место в России;Место в субъекте;Сумма баллов(общая);Наименование ОО;Сумма баллов (ОБРАЗОВАТЕЛЬНАЯ ДЕЯТЕЛЬНОСТЬ);Место в блоке (ОБРАЗОВАТЕЛЬНАЯ ДЕЯТЕЛЬНОСТЬ);Сумма баллов (МЕЖДУНАРОДНАЯ ДЕЯТЕЛЬНОСТЬ);Место в блоке (МЕЖДУНАРОДНАЯ ДЕЯТЕЛЬНОСТЬ);Сумма баллов (УРОВЕНЬ ПОДГОТОВКИ ВЫПУСКНИКОВ ОБРАЗОВАТЕЛЬНЫХ ПРОГРАММ СПО);Место в блоке (УРОВЕНЬ ПОДГОТОВКИ ВЫПУСКНИКОВ ОБРАЗОВАТЕЛЬНЫХ ПРОГРАММ СПО);Сумма баллов (ИНФРАСТРУКТУРА);Место в блоке (ИНФРАСТРУКТУРА);Сумма баллов (ФИНАНСОВО-ЭКОНОМИЧЕСКАЯ ДЕЯТЕЛЬНОСТЬ);Место в блоке (ФИНАНСОВО-ЭКОНОМИЧЕСКАЯ ДЕЯТЕЛЬНОСТЬ);Сумма баллов (КАДРОВЫЙ СОСТАВ);Место в блоке (КАДРОВЫЙ СОСТАВ);Сумма баллов (РЕАЛИЗАЦИЯ ПРОГРАММ ДПО);Место в блоке (РЕАЛИЗАЦИЯ ПРОГРАММ ДПО);Сумма баллов (СОЦИАЛЬНАЯ ОТВЕТСТВЕННОСТЬ);Место в блоке (СОЦИАЛЬНАЯ ОТВЕТСТВЕННОСТЬ);1.4.1 и 1.4.2;1.5.1 и 1.5.2;1.8;1.10;2.2;3.3.1 и 3.3.2;4.3;4.6;5.1;5.2;6.2;6.3;7.1;8.2;8.4;8.5;8.10
55;1639;51;25;"Государственное автономное профессиональное образовательное учреждение Свердловской области ""Каменск-Уральский радиотехнический техникум""";7;41;1;45;1;32;5;27;5;33;0;27;0;76;6;58; 32,83; 3,68; 19,88; 0,00; 0,18; 42,86; 25,09; 56,99; 112,70; 99,89; 0,00; 0,00; 0,00; 54,69; 0,00; 6,57; 0,00
56;1788;56;24;"Государственное бюджетное профессиональное образовательное учреждение Свердловской области ""Нижнетагильский педагогический колледж № 1""";8;31;0;74;0;43;2;100;4;55;0;27;2;49;8;31; 91,37; 4,14; 72,15; 0,00; 0,00; 0,00; 17,14; 3,92; 97,97; 184,18; 0,00; 0,00; 98,78; 66,86; 100,00; 1,46; 0,00
57;1788;56;24;Государственное бюджетное профессиональное образовательное учреждение Свердловской области «Талицкий лесотехнический колледж им. Н.И. Кузнецова»;5;64;0;74;4;1;3;72;3;84;0;27;1;64;8;31; 27,06; 3,58; 13,49; 0,00; 0,00; 100,00; 26,42; 8,68; 101,98; 14,00; 0,00; 0,00; 58,33; 64,36; 100,00; 0,00; 0,00
58;1788;56;24;"Государственное автономное профессиональное образовательное учреждение Свердловской области ""Белоярский многопрофильный техникум""";2;115;3;15;0;43;2;100;6;18;0;27;3;1;8;31; 0,00; 3,54; 15,23; 0,00; 1,03; 0,00; 8,69; 14,19; 115,54; 88,50; 0,00; 0,00; 100,00; 44,46; 100,00; 1,44; 4,10
59;1788;56;24;Краснотурьинский колледж искусств;6;53;0;74;0;43;7;1;3;84;0;27;3;1;5;74; 51,90; 4,27; 56,92; 0,00; 0,00; 0,00; 57,59; 121,23; 101,41; 9,66; 0,00; 0,00; 100,00; 42,37; 100,00; 0,00; 0,00
60;1788;56;24;Училище олимпийского резерва №1 (колледж);10;10;0;74;0;43;3;72;2;111;0;27;1;64;8;31; 100,00; 3,99; 48,08; 0,00; 0,00; 0,00; 0,00; 87,60; 107,20; 0,00; 0,00; 0,00; 87,07; 84,93; 100,00; 0,00; 0,00
61;1788;56;24;"Государственное бюджетное профессиональное образовательное учреждение Свердловской области ""Качканарский горно-промышленный колледж""";3;100;1;45;0;43;7;1;1;127;0;27;0;76;12;3; 6,31; 3,50; 11,00; 0,00; 0,33; 0,00; 81,66; 144,92; 94,16; 0,00; 0,00; 0,00; 0,00; 25,26; 100,00; 7,00; 772,39
62;1788;56;24;"Государственное автономное профессиональное образовательное учреждение Свердловской области ""Полевской многопрофильный техникум им. В.И. Назарова""";3;100;3;15;4;1;5;27;5;33;0;27;3;1;1;114; 0,00; 3,59; 19,71; 0,00; 0,96; 100,00; 23,49; 43,02; 105,84; 61,95; 0,00; 0,00; 100,00; 25,54; 0,00; 0,00; 0,00
63;1788;56;24;"Государственное автономное профессиональное образовательное учреждение Свердловской области ""Нижнетагильский техникум металлообрабатывающих производств и сервиса""";4;86;0;74;4;1;4;49;4;55;0;27;3;1;5;74; 25,30; 3,35; 4,51; 0,00; 0,00; 100,00; 9,88; 50,48; 110,02; 2,62; 0,00; 0,00; 100,00; 35,14; 100,00; 0,00; 0,00
64;1927;64;23;"Государственное бюджетное профессиональное образовательное учреждение Свердловской области ""Нижнетагильский колледж искусств""";10;10;0;74;0;43;2;100;3;84;0;27;3;1;5;74; 100,00; 4,17; 80,70; 0,00; 0,00; 0,00; 17,60; 60,30; 101,97; 12,55; 0,00; 0,00; 100,00; 55,35; 0,00; 0,00; 416,50
